SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
Scale,DPaW region,Ecological community name,Ecological community ID,Ecological community full description,Occurrences number,Occurrences IUCN category,Occurrences number reliability,Occurrences number trend,Occurrences number trend reliability,Occurrences notes,EOO area ha,EOO area IUCN category,EOO area method,EOO area trend,EOO notes,AOO area ha,AOO area IUCN category,AOO area method,AOO area trend,AOO notes,Degradation Abiotic extent category,Degradation Abiotic extent trend,Degradation Abiotic severity category,Degradation Abiotic severity  trend,Degradation abiotic reliability ,Degradation abiotic notes,Degradation biotic extent category,Degradation biotic extent trend,Degradation biotic severity category,Degradation biotic severity  trend,Degradation biotic reliability ,Degradation biotic notes,Ecological community biotic component,Ecological community abiotic component,Ecological community wetland,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Endemic to subregion,Land tenure,Last survey  condition year,Last survey  anecdotal year,Additional notes 1 ,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Recovery Goals,Recovery Targets,Last updated on,Reassessment of conservation status required
Western Australia,Midwest,Perched fresh-water wetlands of the northern Wheatbelt with extensive stands of Eucalyptus camaldulensis,Morilla swamp,Perched fresh-water wetlands of the northern Wheatbelt dominated by extensive stands of living Eucalyptus camaldulensis (River Red Gum) across the lake floor.,0,No known extant occurrences (potential ecosystem collapse),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed,N/A,N/A,,,,0,N/A,-,N/A,S&C: presumed destroyed,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,N/A,N/A,N/A,None,Presumed Destroyed,2011,,AVW01,,2001,,This community is presumed destroyed 'PD B)'. It was endorsed by the Minister for the Environment in 2001.,No known past pressures,presumed destroyed prior to 2002,No known future threats,presumed destroyed,N/A,,,"Presumed destroyed, no management required, new listing process required",SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,,,,,"Keith Claymore: NO MANAGEMENT ACTIONS, NEED FOR NEW CLASSIFICATION SYSTEM AND DEFINITION OF TECS TO EXCLUDE PD  SHOULD BE PICKED UP IN AN OVERARCHING DOCUMENT FOR THE AUDIT & RECOMMENDATIONS.",,,,,
Western Australia,Midwest,Perched fresh-water wetlands of the northern Wheatbelt with extensive stands of Eucalyptus camaldulensis,Morilla swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keith Claymore: THE TEC IS LISTED AS A PD; HOWEVER; THE CLASSIFICATION SYSTEM NEEDS TO BE CHANGED SO THAT PDS FALL OUTSIDE OF THE ""THREATENED CATEGORIES""",,,,,
Western Australia,Midwest,Perched fresh-water wetlands of the northern Wheatbelt with extensive stands of Eucalyptus camaldulensis,Morilla swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW01,Midwest,Perched fresh-water wetlands of the northern Wheatbelt with extensive stands of Eucalyptus camaldulensis,Morilla swamp,Perched fresh-water wetlands of the northern Wheatbelt dominated by extensive stands of living Eucalyptus camaldulensis (River Red Gum) across the lake floor.,0,No known extant occurrences (potential ecosystem collapse),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed,N/A,N/A,-,N/A,,0,N/A,-,N/A,S&C: presumed destroyed,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,N/A,N/A,N/A,None,Presumed Destroyed,2011,,AVW01,,2001,,This community is presumed destroyed 'PD B)'. It was endorsed by the Minister for the Environment in 2001.,No known past pressures,presumed destroyed prior to 2002,No known future threats,presumed destroyed,N/A,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,,,,,"Keith Claymore: NO MANAGEMENT ACTIONS, NEED FOR NEW CLASSIFICATION SYSTEM AND DEFINITION OF TECS TO EXCLUDE PD  SHOULD BE PICKED UP IN AN OVERARCHING DOCUMENT FOR THE AUDIT & RECOMMENDATIONS.",,,,,
AVW01,Midwest,Perched fresh-water wetlands of the northern Wheatbelt with extensive stands of Eucalyptus camaldulensis,Morilla swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Keith Claymore: THE TEC IS LISTED AS A PD; HOWEVER; THE CLASSIFICATION SYSTEM NEEDS TO BE CHANGED SO THAT PDS FALL OUTSIDE OF THE ""THREATENED CATEGORIES""",,,,,
AVW01,Midwest,Perched fresh-water wetlands of the northern Wheatbelt with extensive stands of Eucalyptus camaldulensis,Morilla swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Clay flats assemblages of the Irwin River,Irwin River Clay Flats,Sedgelands and grasslands with patches of Eucalyptus loxophleba and scattered E. camaldulensis over Acacia acuminata and A. rosellifera shrubland on brown sand/loam over clay flats of the Irwin River.,0,No known extant occurrences (potential ecosystem collapse),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed,N/A,N/A,-,N/A,,0,N/A,-,N/A,S&C: presumed destroyed,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,Status presumed destroyed,N/A,Status presumed destroyed,N/A,Quantitative analysis of data published or publically available following peer review,S&C: presumed destroyed before last 10 years,N/A,N/A,N/A,None,Presumed Destroyed,,,,,N/A,,"JM: no spatial or tenure info for this community, therefore I allocated it to GES02 (location of Irwin River/Dongara). Please update if this is incorrect. ",No known past pressures,presumed destroyed prior to 2002,No known future threats,presumed destroyed,N/A,,,"Presumed destroyed, no management required, new listing process required",SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,,,,,"Keith Claymore: NO MANAGEMENT ACTIONS, NEED FOR NEW CLASSIFICATION SYSTEM AND DEFINITION OF TECS TO EXCLUDE PD  SHOULD BE PICKED UP IN AN OVERARCHING DOCUMENT FOR THE AUDIT & RECOMMENDATIONS.",,,,,
Western Australia,Midwest,Clay flats assemblages of the Irwin River,Irwin River Clay Flats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This community is presumed destroyed 'PD B)'. It was endorsed by the Minister for the Environment in [date].,,,,,,,,,,,,,,,,,,,,,"Keith Claymore: THE TEC IS LISTED AS A PD; HOWEVER; THE CLASSIFICATION SYSTEM NEEDS TO BE CHANGED SO THAT PDS FALL OUTSIDE OF THE ""THREATENED CATEGORIES""",,,,,
Western Australia,Midwest,Clay flats assemblages of the Irwin River,Irwin River Clay Flats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
