SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION_CAT,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
Western Australia,South Coast,Sch1:Birds,Atrichornis clamosus,Noisy Scrub-bird,mainland & Bald Island,1,Quantitative analysis of data published or publically available following peer review,Static,Expert opinion,,2,1,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data published or publically available following peer review,Static (increases = losses),Quantitative analysis of data published or publically available following peer review,South Coast workshop: some reintroductions but haven't met criteria for translocations. Other introductions have expanded to extant populations and coalesced into 1 meta populaiton. Bald Island is introduction. All pops considered to be in JAF02 not ESP01. ,460,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative analysis of data published or publically available following peer review,Large fluctuations,Quantitative analysis of data published or publically available following peer review,South Coast workshop: estimate of 460 singing males,"36,170","< 100,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,South Coast workshop: area cal & trend fluctuates. S&C: 10935ha ESP01 + 73350 JAF02,"28,000","< 50,000ha (potentially meets area of occupancy criteria for EN)",Sum of mapped polygons,Unknown,"South Coast workshop: area, fluctuates according to fire history. Habitat type has different response to fire.",,Moderate,Quantitative analysis of data published or publically available following peer review,More habitat types occupied (recovery actions > pressures),South Coast workshop: population increase and dispersal has resulted in birds found wider range of habitats; fire management has improved; likely decline in predators,2012,,2013,"South Coast workshop: past pressures, future threats. ",Vulnerable,Endangered,1988,"B1ab(iii,v)+2ab(iii,v)",Fire intensity,,Fire intensity,,2009,,,,PD i) Current population size,census of non-singing birds,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,MD i) Fire management for biodiversity (specify),,MI i) Habitat protection through formal conservation reservation (specify),"finalise reservation of Waychinicup Water Reserve UCL (PNP 04), Goodga Reserve (PNR08) ",,,,,,,
Western Australia,South Coast,Sch1:Birds,Atrichornis clamosus,Noisy Scrub-bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF02,South Coast,Sch1:Birds,Atrichornis clamosus,Noisy Scrub-bird,mainland & Bald Island,1,Quantitative analysis of data published or publically available following peer review,Static,Expert opinion,,2,1,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data published or publically available following peer review,Static (increases = losses),Quantitative analysis of data published or publically available following peer review,South Coast workshop: some reintroductions but haven't met criteria for translocations. Other introductions have expanded to extant populations and coalesced into 1 meta populaiton. Bald Island is introduction. All pops considered to be in JAF02 not ESP01. ,460,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative analysis of data published or publically available following peer review,Large fluctuations,Quantitative analysis of data published or publically available following peer review,South Coast workshop: estimate of 460 singing males,"36,170","< 100,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,South Coast workshop: area cal & trend fluctuates. S&C: 10935ha ESP01 + 73350ha JAF02,"28,000","< 50,000ha (potentially meets area of occupancy criteria for EN)",Sum of mapped polygons,Unknown,"South Coast workshop: area, fluctuates according to fire history. Habitat type has different response to fire.",,,,,,2012,,2013,"South Coast workshop: past pressures, future threats. ",Vulnerable,Endangered,1988,"B1ab(iii,v)+2ab(iii,v)",Fire intensity,,Fire intensity,,2009,,,,PD i) Current population size,census of non-singing birds,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,MD i) Fire management for biodiversity (specify),,MI i) Habitat protection through formal conservation reservation (specify),"finalise reservation of Waychinicup Water Reserve UCL (PNP 04), Goodga Reserve (PNR08) ",,,,,,,
JAF02,South Coast,Sch1:Birds,Atrichornis clamosus,Noisy Scrub-bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Coast workshop: Boundary around Waychhinicup NP is incorrect, should be included in JAF02 and not ESP01. This species is treated as if boundary occurrs to the east of Waychinicup, therefore all pops occur in JAF02. ",,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Warren,Sch1:Inverts,Austroassiminea letha,Cape Leeuwin Freshwater Snail,populations below,1,Quantitative analysis of data published or publically available following peer review,Static,Quantitative unpublished data and expert opinion,KW & Cape Leeuwin Freshwater Snail Monitoring Report 2009: genetic analysis indicate same taxon throughout range. ,7,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Cape Leeuwin Freshwater Snail Monitoring Report 2009: 6 sites, monitoring at 4 sites Canal Rocks, Ellensbrook, Cosy Corner and Cape Leeuwin. KW: advised an additional site known since surveys but not sure which subregion occurs in. ",Unknown,Unknown,Expert opinion,Static (no change),Quantitative analysis of data published or publically available following peer review,KW & Cape Leeuwin Freshwater Snail Monitoring Report 2009,"9,217","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased (new knowledge - biological survey),S&C: area calc. KW: expanding due to survey.  JM: historic collection locations in Warren Region not included in this calc as no records post 1992. ,< 10,< 10ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),KW: expanding due to survey. ,,Highly restricted,Quantitative unpublished data and expert opinion,Static,KW: Freshwater seeps and springs derived from limestone near the coast,2013,,,KW: past pressures & future threats. ,,Vulnerable,2006,D2,Weeds (specify dominant spp),weed invasion of freshwater seeps,Weeds (specify dominant spp),weed invasion of freshwater seeps,2009,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitats (eg. Boodjidup Creek and Deepdene occurrences have not yet been fully surveyed) and historic collection sites (eg. Donnelly River and near Windy Harbour). ,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with Friends of Cape to Cape track, NRM organisations and other relevant stakeholders regarding weed control at population sites",,,JM:  management actions taken from Cape Leeuwin Freshwater Snail Monitoring Report 2009 as per instructions of KW. ,,,,
Western Australia,Warren,Sch1:Inverts,Austroassiminea letha,Cape Leeuwin Freshwater Snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: 1980s collection locations at Donnelly River and near Windy Harbour are not included in EOO as no records post 1992. ,,,,,Pollution (agriculture),weed control chemicals,Pollution (agriculture),weed control chemicals,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Sch1:Inverts,Austroassiminea letha,Cape Leeuwin Freshwater Snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),changed hydrology,Water abstraction (specify),changed hydrology,,,,,,,,,,,,,,,,,,,,,
JAF02,Warren,Sch1:Inverts,Austroassiminea letha,Cape Leeuwin Freshwater Snail,Canal Rocks,Refer to State level,,,,,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,Cape Leeuwin Freshwater Snail Monitoring Report 2009: Canal Rocks,Unknown,Unknown,Expert opinion,Static (no change),Quantitative analysis of data published or publically available following peer review,KW & Cape Leeuwin Freshwater Snail Monitoring Report 2009,Refer to State level,Refer to State level,,Increased (new knowledge - biological survey),KW: expanding due to survey. S&C: 164,< 10,< 10ha (sub-region),Sum of mapped polygons,Increased (new knowledge - biological survey),KW: expanding due to survey. ,,Highly restricted,Quantitative unpublished data and expert opinion,Static,KW: Freshwater seeps and springs derived from limestone near the coast,2013,,,KW: past pressures & future threats. ,,Vulnerable,2006,D2,Weeds (specify dominant spp),weed invasion of freshwater seeps,Weeds (specify dominant spp),weed invasion of freshwater seeps,2009,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitats (eg. Boodjidup Creek and Deepdene occurrences have not yet been fully surveyed),EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with Friends of Cape to Cape track, NRM organisations and other relevant stakeholders regarding weed control at population sites",,,JM:  management actions taken from Cape Leeuwin Freshwater Snail Monitoring Report 2009 as per instructions of KW. ,,,,
JAF02,Warren,Sch1:Inverts,Austroassiminea letha,Cape Leeuwin Freshwater Snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (agriculture),weed control chemicals,Pollution (agriculture),weed control chemicals,,,,,,,,,,,,,,,,,,,,,
