SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",2,Quantitative analysis of data published or publically available following peer review,Static,Expert opinion,"EPBC conservation advice 2008: Chittering and Kalamunda groups represent separate and genetically distinct evolutionary units with different reproductive systems: Chittering individuals reproduce primarily by seed, while the Kalamunda population appears to be clonal. JM - Pickering Brook pop is not mentioned so unsure if it was known at the time of analysis or is considerd part of Kalamunda ESU. ",14,0,Less than or equal to 20 (does not meet IUCN location/subpopulation criteria),Quantitative analysis of data not publically available,Static (no change),Expert opinion,"JM: count as for TPFL. Swan region: trend. EPBC Conservation advice 2008 lists three localities Kalamunda/Bickley, Chittering/Bullsbrook, and Pickering Brook",540,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Unknown,-,JM: count accept TPFL; Swan region: trend. ,"2,119","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,S&C: area; Swan region: trend. ,Unknown,Unknown,-,Unknown,S&C: 1000ha; Swan region advised unknown,,Moderate,Quantitative unpublished data and expert opinion,Static,Swan region,2012,,,"Swan region: past pressures, future threats",Vulnerable,Vulnerable,,,Industrial development,vegetation clearing for rural lots,Industrial development,vegetation clearing for rural lots,None,,,"Currently threatened taxa, likely status unknown",Au ii) Ecological niche and life history (habitat suitability),reproductive biology,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),update Threatened Flora of the Swan Region (2003),MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Swan region: management actions,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",changes to fire regimes as a result of rural subdivision,"Fire regime (intensity, frequency, seasonality, scale)",changes to fire regimes as a result of rural subdivision,,,,,QTP iii) Quantifying threatening processes – species,"determine fire response (monitoring shows one population repsrouts after fire, other populations unknown)",,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,"JM: Swan region noted research on potential genetic structuring (between southern and northern populations) but this has been done by Coates 1988 Genetic diversity and population genetic structure in rare Chittering grass wattle, Acacia anomala Court",,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,Strategic Assessment Perth & Peel ,,,,,,,
SWA01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",Refer to State level,,,,,3,0,Refer to State level,Quantitative analysis of data not publically available,Static (no change),Expert opinion,JM: count as for TPFL. Swan region: trend. ,47,Refer to State level,Quantitative analysis of data not publically available,Unknown,-,JM: count accept TPFL; Swan region: trend. ,Refer to State level,Refer to State level,-,Unknown,Swan region: trend.  S&C: 455ha.,Unknown,Unknown,-,Unknown,S&C: 312ha; Swan region advised unknown,,Moderate,Quantitative unpublished data and expert opinion,Static,Swan region,2012,,,"Swan region: past pressures, future threats",Vulnerable,Vulnerable,,,Industrial development,vegetation clearing for rural lots,Industrial development,vegetation clearing for rural lots,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Swan region: management actions,,,,
SWA01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",changes to fire regimes as a result of rural subdivision,"Fire regime (intensity, frequency, seasonality, scale)",changes to fire regimes as a result of rural subdivision,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,"JM: Swan region noted research on potential genetic structuring (between southern and northern populations) but this has been done by Coates 1988 Genetic diversity and population genetic structure in rare Chittering grass wattle, Acacia anomala Court",,,,
SWA01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
SWA01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
