3.4 Aquatic Ecosystems ,,,,,,,Workshop participants:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Reviewed by:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRA Sub-Region,DEC REGION,CONSANGUINEOUS SUITE,Name (Australian Ramsar* Site No.) Consanguineous Suite Name,OTHER NAME,"Additional locality information (if needed e.g., latitude & longitude)","GIS unique identifier (e.g., DIWA, TRACK, DEC WA Wetlands, DEC district Water Bodies)",Tenure,"Wetland Component (e.g., channel, pool, riparian vegetation)",ANAE Class,ANAE System,Additional Description,HEVAE SCORE,,ANAE attributes for Marine & Esturine systems,,,,"ANAE attributes for Lacustrine, Palustrine, Riverine & Floodplain (LPRF) systems",,,,,,,Subterranean,,,,,Current Condition Abiotic,Current Condition Biotic Component,Reliability,Trend (last 10 years),Reliability,Management Category Evaluation by % Area of Site,"Past Pressures


",Specify Past Pressures (Where Necessary),"Future Threats Over Next 20 Years 

",Specify Future Threats (Where Necessary),Notes,"Management Requirements
(Refer to Appendix B for full desription of actions)",,,,,,,,,,,Notes,Further Infomation/Key References,,,Threatened or Priority Ecological Community,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Marine/Esturine - Substrate,Marine/Esturine - Structural Macrobiota,Marine/Esturine - Water Influence,,LPRF Soil,LPRF Water regime,LPRF Vegetation,LPRF Salinity,LPRF Dominant Water source,More detailed description of wetland (if known),,Subterranean Confinement,Subterranean Porosity,Subterranean Water Type,Subterranean Dominant Recharge Source,,,,,,,,See Appendix A for full description of pressures,,See Appendix A for full description of threats,,,Research,Specify Research Requirements (Where Necessary ,Evaluation ,Conservation Planning ,Specify Conservation Planning (Where Necessary),Direct Intervention,Specify Direct Intervention (Where Necessary),Indirect Intervention,Specify Indirect Intervention (Where Necessary),Other,Specify Other Requirements (Where Necessary),,,,,,,,,,,,,,,,,,,
   3.4.1a.  Wetlands of Known International Significance (Ramsar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWA02,SWAN,,Becher Point Wetlands (WA054) whole site overview,,"115.740284, -32.38206",see below,,Basin expression of groundwater,Surface water,Palustrine,"Ramsar Description Ts, W
Ramsar Criteria 1, 2
DIWA description B10, B14 
",,,,,,,Porous - Peat (organic),Waterlogged,Shrub,Fresh (<1000 mg/L),Ground water,"Dunal swales which vary in depth of carbonate mud, level of inundation from seasonally inundated to seasonally waterlogged, vegetation varies according to geohydrological conditions from tall paperbarks in older systems to sedges and forbes in younger systems",,,,,,,Good ,Good,Quantitative analysis of data published or publically available following peer review,Decreasing,Quantitative unpublished data and expert opinion,"Conservation 99.49%
Multiple Use 0.50% 
Not Applicable 0.01%",Urban development ,,Urban development ,Proposed development (north),,Hydr iii) Develop hydrological model to forecast effect on biodiversity from climate change,Monitoring bores have been put in for the golf course.,iv) Monitoring and evaluation and reporting plan ,iv) Wetland management plan,Complete Ecological Character Description,i) Fire management for biodiversity,,x) Regulation - Native vegetation clearing (DEC/DMP),Environmentally Sensitive Area,i) Additional awareness raising and education (specify);,Signage,Evaluation linked to Ramsar rolling review,"1. Ecological Character Description for the Becher Point Wetlands Ramsar site (V & C Semeniuk Research Group 2014).                                                                                                                                                                           2. Semeniuk C A (2007). The Becher Wetlands - a Ramsar Site. Evolution of wetland habitats and vegetation associations on a Holocene coastal plain, South-Western Australia. Vol 1 Wetlands: Ecology, Conservation and Management. Finlayson M (Series Ed.). Springer The Netherlands                                                                                     3. Semeniuk C A (2007) The Becher Wetlands – A Ramsar Site. Evolution of wetland habitats and vegetation associations on a Holocene Coastal Plain, South-Western Australia. Wetlands: Ecology, Conservation and Management. Volume 1 Finlayson M (Series Ed.) Springer Dordrecht, The Netherlands p680
4. Semeniuk C A, Milne L A, Ladd P and Semeniuk V (2006) Pollen in the surface sediments of wetlands in the Becher Point area, southwestern Australia: a baseline for use in interpreting Holocene sequences. Journal of the Royal Society of Western Australia 89:27-43
5. Semeniuk C A, Milne L A, Semeniuk V and Ladd P (2006) Holocene palynology of five wetland basins in the Becher Point area, southwestern Australia. Journal of the Royal Society of Western Australia 89:129-154
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Porous - Mineral (soil),Seasonally inundated,"Sedge, Grass or Forb",Brackish (3000-5000 mg/L),,,,,,,,,,,,,,,Erosion,,Erosion,coast,,,Model to link depth to groundwater with frequency of inundation,II) Threat monitoring protocols,iv) Wetland management plan,Review Management Plan  in light of Ecological Character Description,vi) Habitat restoration,"Continuing management of access, vegetation rehabilitation",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,Pollution (household),"TN, TP, salinity",,,continue monitoring groundwater (depth and inundation frequency),,iv) Wetland management plan,New management plan in  2010,ii) Invasive alien species (plants),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational activities,Golf course,,,,,set nutrient limits,,xi) Other,"Set nutrient limits
Review Alan Tingay & Associates, 1997 management framework
",iii) Invasive alien species (animal predators) ,"rabbit , fox, cat control - vermin proof fencing",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify user):,"Groundwater, golf course and urban use",,,,,,,,,xi) Ground water extraction control,golf course,,,,,,,,,,,,,,,,,,,,,,,
